بلدية,Municipalite,Code Geo,2017 - Ressources budgétaires totales du conseil municipal X  Estimations préliminaires,2017 - Ressources budgétaires totales du conseil municipal X Prévisions actuelles ,2017 - Ressources budgétaires totales du conseil municipal X ressources réalisées,2017 - Ressources budgétaires totales du conseil municipal X % de réalisation,2017 - Dépenses totales du consel municipal x Estimations péliminaires,2017 - Dépenses totales du consel municipal x Estimations actuelles,2017 - Dépenses totales du conseil municipal X dépenses réalisées,2017 - Dépenses totales du conseil municipal X % de réalisation,2017 - Recettes - Dépenses,2017 - % des Dépenses par rapport a la ressource
بلدية تونس,Municipalité de Tunis,1111,161480804,164370004,78300277,47 64%,161025945,164370004,38428660,23.38%,39871617,0.49078574779499184
بلدية باردو,Municipalite de Bardo,1112,9636504,10265150,6121013,59 63%,9599504,10265150,2781884,27.1%,3339129,0.454480982151157
بلدية الكرم,Municipalite du Kram,1113,14224527,16120201,9078891,56 32%,14224527,16120201,2459892,15.26%,6618999,0.2709463083101229
بلدية حلق الوادي,Municipalité de la Goulette,1114,24113180,26266670,18807042,71 60%,24018600,26066648,3459053,13.27%,15347989,0.18392328788333648
بلدية قرطاج,Municipalite de Carthage,1115,5495131,6672535,2926932,43 87%,5495131,6672535,1273987,19.09%,1652945,0.4352636139138183
بلدية سيدي بوسعيد,Municipalite de Sidi Bou Said,1116,4887626,5369392,2682350,49 96%,4887626,5369392,1005480,18.73%,1676870,0.3748504110201875
بلدية المرسى,Municipalite de la Marsa,1117,27140095,28249880,18295150,64 76%,27140095,28249880,4923950,17.43%,13371200,0.2691396353678434
بلدية سيدي حسين,Municipalite de Sidi Hsin,1118,9323079,10800088,7280703,67 41%,9266160,10797168,2257747,20.91%,5022956,0.31010013730816927
بلدية أريانة,Municipalite Ariana,1211,61634000,62346000,48930733,78.48%,60164795,60876795,5337203,8.77%,43593530,0.10907670236617956
بلدية سكرة برج الوزير,Municipalite Soukra Borj Louzir,1212,29872400,30343202,22418125,73.88%,29224500,30343202,5074524,16.72%,17343601,0.22635809194569126
بلدية رواد,Municipalite de Raoued,1213,19163000,19390430,14262846,73.56%,19163000,19390430,3051834,15.74%,11211012,0.2139709003378428
بلدية قلعة الأندلس,Municipalite de Kalaat El Andalos,1214,3127469,3566195,1245970,34.94%,2921314,3360040,465912,13.87%,780058,0.3739351669783382
بلدية سيدي ثابت,Municipalite de Sidi Thabet,1215,1630794,1906315,309347,16.23%,1630794,1906315,229914,12.06%,79433,0.7432236291284544
بلدية التضامن المنيهلة,Municipalite Ettadhamen Mnihla,1216,10507921,11714032,6506986,55.55%,9018921,11714032,1311708,11.2%,5195278,0.2015845738718356
بلدية بن عروس,Municipalite de Ben Arous,1311,38513815,38711000,30027095,77.57%,27163422,27360607,4567535,16.69%,25459560,0.15211378256871003
بلدية المروج,Municipalite de Mourouj,1312,15016000,16938004,7071779,41.75%,14589469,16938004,4148419,24.49%,2923360,0.5866160410273003
بلدية حمام الأنف,Municipalite de Hammam Lif,1313,6219000,6238093,3163421,50.71%,6219000,6238093,1429812,22.92%,1733609,0.4519828375673045
بلدية حمام الشط,Municipalite Hammam Chott,1314,7414500,7895807,4389174,55.59%,7118500,7895807,2175369,27.55%,2213805,0.49562149962612556
بلدية بومهل البساتين,Municipalite Boumhel Bassatin,1315,6044979,6349835,3194529,50.31%,6044979,6349835,2478036,39.03%,716493,0.7757124759236808
بلدية الزهراء,Municipalite Ezzahra,1316,6266000,7379552,3399838,46.07%,5820000,7379552,2028129,27.48%,1371709,0.5965369526430377
بلدية رادس,Municipalite de Rades,1317,21434000,22559061,16049008,71.14%,21421000,22527470,3605484,0.16,12443524,0.2246546328595512
