بلدية,Municipalite,Code_Geo,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Estimations_préliminaires,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Prévisions_actuelles,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_ressources_réalisées,2017___Ressources_budgétaires_totales_du_conseil_municipal_X___de_réalisation,2017___Dépenses_totales_du_consel_municipal_x_Estimations_péliminaires,2017___Dépenses_totales_du_consel_municipal_x_Estimations_actuelles,2017___Dépenses_totales_du_conseil_municipal_X_dépenses_réalisées,2017___Dépenses_totales_du_conseil_municipal_X___de_réalisation,2017___Recettes___Dépenses,2017_____des_Dépenses_par_rapport_a_la_ressource,sheet_source,processed_date,fiscal_year,جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,0_4764
بلدية تونس,Municipalité de Tunis,1111.0,161480804.0,164370004.0,78300277.0,47 64%,161025945.0,164370004.0,38428660.0,23.38%,39871617.0,0.4907857477949918,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية باردو,Municipalite de Bardo,1112.0,9636504.0,10265150.0,6121013.0,59 63%,9599504.0,10265150.0,2781884.0,27.1%,3339129.0,0.454480982151157,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الكرم,Municipalite du Kram,1113.0,14224527.0,16120201.0,9078891.0,56 32%,14224527.0,16120201.0,2459892.0,15.26%,6618999.0,0.2709463083101229,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية حلق الوادي,Municipalité de la Goulette,1114.0,24113180.0,26266670.0,18807042.0,71 60%,24018600.0,26066648.0,3459053.0,13.27%,15347989.0,0.1839232878833364,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قرطاج,Municipalite de Carthage,1115.0,5495131.0,6672535.0,2926932.0,43 87%,5495131.0,6672535.0,1273987.0,19.09%,1652945.0,0.4352636139138183,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي بوسعيد,Municipalite de Sidi Bou Said,1116.0,4887626.0,5369392.0,2682350.0,49 96%,4887626.0,5369392.0,1005480.0,18.73%,1676870.0,0.3748504110201875,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المرسى,Municipalite de la Marsa,1117.0,27140095.0,28249880.0,18295150.0,64 76%,27140095.0,28249880.0,4923950.0,17.43%,13371200.0,0.2691396353678434,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي حسين,Municipalite de Sidi Hsin,1118.0,9323079.0,10800088.0,7280703.0,67 41%,9266160.0,10797168.0,2257747.0,20.91%,5022956.0,0.3101001373081692,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية أريانة,Municipalite Ariana,1211.0,61634000.0,62346000.0,48930733.0,78.48%,60164795.0,60876795.0,5337203.0,8.77%,43593530.0,0.1090767023661795,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سكرة برج الوزير,Municipalite Soukra Borj Louzir,1212.0,29872400.0,30343202.0,22418125.0,73.88%,29224500.0,30343202.0,5074524.0,16.72%,17343601.0,0.2263580919456912,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية رواد,Municipalite de Raoued,1213.0,19163000.0,19390430.0,14262846.0,73.56%,19163000.0,19390430.0,3051834.0,15.74%,11211012.0,0.2139709003378428,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قلعة الأندلس,Municipalite de Kalaat El Andalos,1214.0,3127469.0,3566195.0,1245970.0,34.94%,2921314.0,3360040.0,465912.0,13.87%,780058.0,0.3739351669783382,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي ثابت,Municipalite de Sidi Thabet,1215.0,1630794.0,1906315.0,309347.0,16.23%,1630794.0,1906315.0,229914.0,12.06%,79433.0,0.7432236291284544,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية التضامن المنيهلة,Municipalite Ettadhamen Mnihla,1216.0,10507921.0,11714032.0,6506986.0,55.55%,9018921.0,11714032.0,1311708.0,11.2%,5195278.0,0.2015845738718356,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بن عروس,Municipalite de Ben Arous,1311.0,38513815.0,38711000.0,30027095.0,77.57%,27163422.0,27360607.0,4567535.0,16.69%,25459560.0,0.15211378256871,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
